ROW_ID,V1T27_1921,PR,CD_NO,CSD_NO,PR_CD_CSD,CSD_TYPE,POP_TOT_1921,Founded,Founded_context,Incorporated,Incorporated_context,Railway_arrives,Railway_lines,First_post_office,Post_office_context,First_church,First_church_context,First_school,First_school_context,Residential_school,Medical,Medical_context,Justice_system,Justice_system_context,First_cemetery,Cemeteries_context,First_newspaper,Newspapers,Colonization_companies,Colonization_companies_context,Land_office_established,Digital_local_history_source
4188,SK182021,SK,182,21,Battleford,T,1229,1875.0,Many dates to choose from - 1875 was when the HBC post and NWMP fort were created.,1904.0,,1905.0,"CNoR, GTPR",1877,1877 - Post office opened.,1883.0,1883 - St Vital Roman Catholic Church (considered the oldest Roman Catholic church in Sask); 1886 -  Original Gardiner Presbyterian Church,1883.0,1883 - The Battleford School (Canada’s first industrial residential school); 1908 King Street Elementary School,1883 - The Battleford School (Canada’s first industrial residential school),,Can't find info on this as all searches turn up the Saskatchewan Hospital in North Battleford.,1876.0,1875 - Creation of NWMP Fort Battleford.,1879.0,1879 - St Vital Parish Cemetery; 1883 - Battleford Industrial School Cemetery; 1885 - Battleford Municipal Cemetery,1878.0,1878 - The Saskatchewan Herald (first newspaper in what is now Sask),1908.0,1908 - The Luse Land Company MAY have had dealings in the Battleford area.,1886.0,
4337,SK185027,SK,185,27,Duck Lake,T,437,1875.0,"While settler history of Duck Lake starts with missionaries and priests, settlement centered on the development of the Stobart and Eden Company.",1898.0,,1890.0,QLSRSC,1879,1879 - First post office (named Stobart) was established.,1879.0,1879 - Sacred Heart Mission Church; 1896 - All Saints Anglican Church; Undated Presbyterian church;,1885.0,1885 - Stobart Roman Catholic Public School established.,1894-1996 - St. Michael's Residential School,,"Doctors are undated, but first doctor was A. B. Stewart.",1879.0,1879 - The first NWMP detachment was established at Duck Lake.,1894.0,1894 - Earliest burial in All Saints Anglican Cemetery; 1896 - Earliest recorded death at St. Michael's Residential School; 1902 - Earliest recorded burial at Blessed Sacrament Roman Catholic Cemetery,1910.0,"""Early 1900s"" till 1911- The Chronicle; 1910 - Le Patriote de L'Ouest",1881.0,1881 - Earliest date I could find associated with The Prince Albert Colonization Company in the Duck Lake area.,,
4338,SK185028,SK,185,28,Humboldt,T,1822,1875.0,1875 - A telegraph station was established there and became the nucleus for the eventual settlement.,1905.0,,1905.0,"CNoR (first), other rail lines established post-1921.",1905,1905 - First postmaster appointed.,1905.0,1905 - Unnamed Presbyterian church; 1919 - St John's Lutheran Church,1908.0,1906 - St. Augustine Catholic School; 1908 - Public schoolhouse built.,,1911.0,1911 - St. Elizabeth's Hospital,1885.0,1885 - NWMP detachment established to protect the telegraph.,1906.0,1906 - earliest burial in Humboldt Public Cemetery,1905.0,1905 - The Humboldt Journal,1902.0,The German American Land Company in coordination with the Order of Benedict's St. Peter's Colony (both had colonization rights in the area),1907.0,
3907,SK176048,SK,176,48,Fort Qu'Appelle,VL,495,1880.0,"Fort Qu'appelle has a long history of settlement based on the fur trade, but homesteading/the village began around 1880.",1895.0,,1911.0,GTPR,1880,1864 - First post office and postmaster for the first Fort Qu'appelle; 1880 - First postmaster appointed at current townsite.,1885.0,1885 - St. John the Evangelist Anglican Church; 1885 - Unnamed Methodist church; 1887 - Unnamed Presbyterian church;,1889.0,1889 - First schoolhouse built.,,1883.0,"1883 - First doctor (William Hall), not only in Fort Qu'appelle but all of NWT (according to the LHB).",1885.0,"1885 - Though active in the area since 1874, 1880 was when the NWMP established a barracks in the area.",1881.0,1881 - First burial in current Fort Qu'appelle Cemetery.,1884.0,1884 - The Vidette,1804.0,"1804 - Arguably, the North West Company and HBC were the colonization companies for this area.",,
3886,SK176027,SK,176,27,Qu'Appelle,T,688,1881.0,"HBC had a trading post here in 1854/55, then settlers started arriving in 1881 in anticipation of CPR running their line through the area (called Troy at the time).",1882.0,Possibly 1882? Date is unclear but 1882 seems likely.,1882.0,CPR,1882,1882 - First postmaster and office.,1884.0,1884 - Unnamed Methodist Church; 1884 - Knox Presbyterian Church; 1885 - St. Peter's Anglican Church; 1886 - Immaculate Conception Roman Catholic Church; ,1886.0,"1886 - First dedicated school built in Qu'appelle School District #2. Before, a private school was held in a rented schoolhouse starting in 1884.",,1946.0,"1946 - Qu'appelle Memorial Hospital. Prior to that, doctors and drug stores were the medical care in Qu'appelle.",1882.0,1882 - NWMP barracks built at Qu'Appelle. 1905 - local constables hired.,1886.0,1886 - Earliest burial in Qu'Appelle Cemetery.,1883.0,1883 - The Record; 1885 - The Qu'Appelle Progress; 1909 - The Advertiser,1883.0,"1883 - Canada North West Land Company; also, while many land companies had Qu'Appelle in the name, I can't find records of them selling land in the Qu'Appelle area.",1882.0,https://digitalcollections.ucalgary.ca/asset-management/2R3BF1ODAJBU6
3888,SK176029,SK,176,29,Sintaluta,T,320,1881.0,"Settlement was originally called Carson, later renamed Sintaluta.",1881.0,,1882.0,CPR,1885,1885 - First postmaster appointed.,1897.0,1897 - Sintaluta Presbyterian Church; 1899 - Sintaluta Methodist Church; 1899 - St. John the Baptist Anglican Church,1895.0,1895 - First schoolhouse built.,,,Early doctor (Dr. Boujou) undated but prior to 1914.,1915.0,"""As long as we had a jail use, there must be police."" but none dated prior to 1915, when Mr. Fanning is named.",1900.0,1900 - Sintaluta Cemetery established.,1900.0,1900 - First newspaper (unnamed); 1907 - The Sintaluta Times,,,,
3885,SK176026,SK,176,26,Lumsden,T,498,1881.0,"1881 - Settlement in the area under the name Happy Hollow, changed to Lumsden when the railway came through.",1889.0,,1887.0,"QLSRSC, CPR",1892,"1884 - First postmaster appointed to Carssdale Post Office, which was later moved to Lumsden. First Lumsden postmaster appointed 1892.",1906.0,1906 - Unnamed Presbyterian church; 1908 - Unnamed Methodist church; undated Anglican Church (prior to 1947).,1897.0,1897 - First school built (unclear if it was in Lumsden proper).,,1897.0,1897 - First doctor (N.W. Anderson) arrived.,1895.0,1895 - NWMP depot in Lumsden.,1893.0,1893 - First burial in Lumsden Cemetery.,1900.0,1900 - The Lumsden News (quickly changed to The Times); 1904 - The News Record,,,,
3829,SK175026,SK,175,26,Moosomin,T,1099,1882.0,1882 - Town was founded around the arrival of the CPR line.,1882.0,,1882.0,CPR,1882,1882 - Post office opened.,1883.0,1883 (likely) - St. Andrew's Presbyterian Church; 1885 - St. Alban's Anglican Church; 1889 - Bethel United Church; 1892 - Broadway Baptist Church; ,1905.0,1905 - A Normal school opened.,1889-1949 - Elkhorn (Washakada) Residential School was very near Moosomin.,1905.0,"1905 - First purpose-built hospital established. Prior to this, a house-hospital was used.",1885.0,"1885 - Earliest mention of NWMP presence I could find, related to the NW Resistance.",1882.0,1882 - Fleming Memorial Cemetery; 1885 - Moosomin North Cemetery; 1885 - Moosomin South Cemetery,1884.0,1884 - The Moosomin Courier (now The World-Spectator),,"I could find no direct involvement, but indirectly: London Colonization Aid Society operated in the area; 1909 - an associate of the Canadian Prairie Land Company bought land in Moosomin.",,https://digitalcollections.ucalgary.ca/archive/Moosomin-Century-One---Town-and-Country-2R3BF1OHN7XJF.html
3833,SK175030,SK,175,30,Wolseley,T,956,1882.0,"Settlement began at Wolf Creek, later renamed Wolseley, but the town began with the arrival of CPR.",1898.0,,1882.0,CPR,1882,1882 - First postmaster appointed.,1884.0,1884 - St. Jame's Presbyterian (now United) Church; 1900 - St. Anne's Roman Catholic Church; 1900 - St. George's Anglican Church; 1903 - Alexander Church (denomination unclear); 1905 - Bethany Evangelical and Reformed Church ,1884.0,1884 - First school established.,,1947.0,1947 - Wolseley Memorial Union Hospital. No dedicated hospital prior to this time.,1886.0,1886 - Creation of the Wolseley detachment of the NWMP.,1880.0,"1880 - Wolseley ""North"" or ""Old"" Cemetery; 1892 - first recorded burial at Wolseley Cemetery (new)",1893.0,"1893 - The Wolseley Echo, renamed The Wolseley News in 1899, merged in 1973 to become The Indian Head-Wolseley News.",,,,https://digitalcollections.ucalgary.ca/asset-management/2R3BF1F5G70XJ
3824,SK175021,SK,175,21,Broadview,T,839,1882.0,1882 - CPR chose the site for a station.,1898.0,,1882.0,CPR,1882,1882 - First postmaster appointed.,1882.0,1902 - Poplar Grove United Church; 1903 - Bethel Methodist Church; 1924 - Highland Baptist Church; ,1883.0,"1883 - One-room school, Broadview #5, built.",,1936.0,1936 - St. Michael's Hospital. No record of hospital prior to this.,1885.0,1885 - The NWMP established a division there.,1884.0,1884 - The Broadview Cemetery was established,1893.0,1893 - The Broadview Sentinel; 1905 - The Broadview Express,,,,https://digitalcollections.ucalgary.ca/archive/Broadview--the-railway-town-of-eastern-Saskatchewan-2R3BF1FRQAE2W.html
